id,house_ln,house_la,subway,bus_stop,park,scenery,borough,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,Brooklyn,Manhattan,Queens,Staten,Bronx,ave_price,Price_avg,True_price,Predict_price,errors
12847429,-73.99039,40.76014,11,8,2,19,Manhattan,Entire home/apt,4,1,2,2,Real Bed,1,5,76,1,0,0,4.3095,within an hour,3,0.99,0,Upper East Side,150,,,3.341,17.663,12.806,10.662,3.312,13.865,19.813,19.739,20.84,23.732,23.607,14.851,3.12,9.109,1.327,2.754,1.082,0.464,5.588,1.385,1.018,2.568,5.995,6.217,2.117,3.46,3.665,5.035,1.033,68.964,5.767,1.165,0.435,5.728,1.077,2.146,2.547,1.126,241.721,0.912,0.32,0.452,0.527,0.272,0.295,0.337,0,1,0,0,0,62.77,inf,150,260.38553,110.38552856445312
9597629,-73.98264,40.66519,1,1,1,1,Brooklyn,Entire home/apt,10,2,4,5,Real Bed,1,0,0,1,0,0,0.9893,,0,0,0,,350,,,13.387,27.13,14.549,1.088,7.402,22.454,27.392,10.479,12.302,15.001,13.834,8.253,12.794,5.867,9.302,12.94,10.716,10.422,5.905,9.745,11.181,12.18,4.753,5.047,8.463,7.251,13.993,5.678,9.783,79.5,15.918,9.428,10.152,5.726,10.915,9.656,12.859,10.389,252.259,10.451,0.231,0.599,0.79,0.486,0.509,0.537,1,0,0,0,0,45.97,inf,350,516.53485,166.53485107421875
25455986,-73.95269,40.69399,1,5,1,3,Brooklyn,Entire home/apt,4,2.5,3,3,Real Bed,4,2,100,1,0,0,1.7837,within a few hours,2,1,1,Bedford-Stuyvesant,125,,,10.215,23.363,10.715,3.476,5.562,18.543,23.339,11.727,12.913,15.797,15.61,11.834,9.53,7.764,6.692,9.872,7.794,7.718,5.522,6.85,8.856,8.967,4.003,4.917,6.099,5.444,10.933,4.394,7.037,76.283,12.653,7.01,7.582,5.403,8.003,6.497,9.867,7.468,249.012,7.593,0.314,0.49,0.74,0.126,0.296,0.367,1,0,0,0,0,45.97,inf,125,245.56186,120.56185913085938
12382140,-73.97321,40.75322,7,12,2,20,Manhattan,Entire home/apt,6,2,2,3,Real Bed,1,14,89,1,0,0,1.1501,within an hour,3,1,1,Newport Beach,299,,,3.568,17.687,11.257,9.754,3.214,13.521,19.244,18.479,19.47,22.362,22.407,14.974,3.018,9.314,1.14,3.129,0.993,1.186,5.604,0.338,2.657,2.389,5.578,6.047,1.936,3.327,4.19,4.677,0.764,69.699,6.106,1.598,1.379,5.706,1.2,0.508,3.081,0.679,242.456,0.853,0.311,0.346,0.446,0.099,0.164,0.25,0,1,0,0,0,62.77,inf,299,402.8386,103.83859252929688
13411035,-73.98937,40.76327,3,7,2,19,Manhattan,Entire home/apt,5,1,3,3,Real Bed,1,4,80,1,0,0,4.3095,within an hour,3,0.99,0,Upper East Side,185,,,3.007,17.319,12.787,10.993,3.67,13.555,19.527,20.024,21.1,23.993,23.904,15.197,2.826,9.454,1.641,2.414,1.006,0.603,5.944,1.559,0.978,2.301,6.35,6.575,2.464,3.817,3.309,5.39,1.272,68.613,5.415,1.52,0.769,6.085,0.932,2.256,2.198,1.153,241.37,0.939,0.299,0.496,0.578,0.014,0.244,0.298,0,1,0,0,0,62.77,inf,185,313.38702,128.38702392578125
22195324,-73.93812,40.71436,1,4,0,2,Queens,Entire home/apt,12,1,3,6,Real Bed,6,20,84,1,0,0,0.9672,within an hour,3,1,0,Williamsburg,189,,,8.265,20.879,8.673,6.049,5.315,15.999,20.766,13.45,14.288,17.174,17.457,14.059,7.528,9.397,5.529,8.025,6.209,6.341,6.332,5.388,7.704,7.035,5.059,6.032,5.268,5.255,9.05,4.941,5.698,74.041,10.563,5.979,6.342,6.279,6.409,4.806,8.085,5.913,246.734,6.086,0.346,0.501,0.751,0.248,0.319,0.444,0,0,1,0,0,39.08,inf,189,307.60657,118.6065673828125
4447904,-73.9815,40.77783,5,23,1,19,Manhattan,Entire home/apt,3,1,1,2,Real Bed,1,5,100,1,0,0,0.7795,within a day,1,1,0,Upper West Side,80,1100,,1.375,15.588,12.587,12.526,5.394,11.95,18.015,21.288,22.23,25.119,25.226,16.936,1.538,11.191,3.243,0.777,1.846,2.127,7.692,2.815,2.177,1.373,8.044,8.312,4.141,5.539,1.56,7.09,2.743,66.976,3.668,3.241,2.471,7.832,1.638,3.17,0.486,2.177,239.736,2.083,0.08,0.492,0.495,0.116,0.127,0.145,0,1,0,0,0,62.77,inf,80,209.17879,129.1787872314453
12092403,-73.96204,40.71697,1,1,1,15,Brooklyn,Entire home/apt,4,2.5,2,2,Real Bed,4,15,99,1,0,0,0.9601,within a few hours,2,0.75,0,Williamsburg,200,,,7.593,21.117,10.526,5.756,3.349,16.493,21.658,14.385,15.491,18.383,18.283,12.626,6.933,7.608,4.053,7.225,5.122,5.052,4.337,4.176,6.241,6.35,3.187,4.128,3.556,3.273,8.288,2.932,4.371,73.723,10.071,4.411,4.936,4.299,5.331,3.846,7.207,4.794,246.469,4.919,0.437,1.009,1.023,0.4,0.507,0.853,1,0,0,0,0,45.97,inf,200,338.54376,138.54376220703125
15783413,-73.92619,40.74075,1,12,0,7,Queens,Entire home/apt,7,2,3,4,Real Bed,4,141,97,1,0,0,0.9628,within an hour,3,1,1,Sunnyside,115,,,6.073,17.803,7.197,9.134,6.095,12.897,17.754,16.109,16.668,19.511,20.165,16.64,5.308,11.503,5.07,6.024,4.911,5.359,7.959,4.496,6.83,4.991,7.097,7.964,5.353,6.115,6.912,6.593,4.923,71.143,8.033,5.6,5.573,7.972,5.055,3.692,6.186,4.729,243.793,4.946,0.384,0.588,0.705,0.158,0.204,0.23,0,0,1,0,0,39.08,inf,115,277.40228,162.40228271484375
29878723,-73.94765,40.68143,2,12,1,0,Brooklyn,Entire home/apt,6,2.5,2,3,Real Bed,1,4,100,1,0,0,1.7837,,0,0,0,Bedford-Stuyvesant,150,,,11.657,24.628,11.097,2.569,6.907,19.729,24.336,10.281,11.526,14.401,14.151,11.634,10.964,8.218,8.142,11.324,9.254,9.175,6.547,8.309,10.296,10.409,5.023,5.837,7.524,6.781,12.383,5.582,8.494,77.685,14.079,8.447,9.033,6.406,9.463,7.951,11.323,8.927,250.404,9.053,0.259,0.597,0.696,0.164,0.241,0.242,1,0,0,0,0,45.97,inf,150,258.03793,108.03793334960938
