id,house_ln,house_la,subway,bus_stop,park,scenery,borough,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,Brooklyn,Manhattan,Queens,Staten,Bronx,ave_price,availability,accommodates_s,scenery_s,bedroom_s,beds_s,accom_bedroom,bedroom_for_each,beds_for_each,park_scenery,prediction,error
7801,-73.95718000000001,40.71842,1,0,1,14,Brooklyn,Entire home/apt,4,1.0,1,2,Real Bed,1,9,98,1,0,0,0.9601,,0,0.0,0,Williamsburg,299,,,7.472,20.842,10.09,5.975,3.654,16.173,21.285999999999998,14.382,15.424000000000001,18.317,18.31,13.043,6.791,8.048,4.1339999999999995,7.132999999999999,5.09,5.08,4.763,4.17,6.332999999999999,6.225,3.628,4.567,3.7260000000000004,3.59,8.192,3.3539999999999996,4.405,73.563,9.92,4.529,5.001,4.728,5.297999999999999,3.762,7.1339999999999995,4.768,246.301,4.908,0.127,0.757,0.792,0.552,0.575,0.6609999999999999,1,0,0,0,0,74.75,0,16,196,1,4,4,4.0,2.0,14,193.03851,105.96148681640625
16326,-73.96428,40.67811,0,6,1,3,Brooklyn,Entire home/apt,8,2.0,4,4,Real Bed,8,143,99,1,0,0,0.9147,within a few hours,2,1.0,1,Prospect Heights,200,,,11.901,25.316999999999997,12.460999999999999,1.472,6.49,20.54,25.355999999999998,10.638,12.13,14.959000000000001,14.335999999999999,10.195,11.253,6.882000000000001,8.062000000000001,11.507,9.339,9.152999999999999,5.6610000000000005,8.368,10.119,10.663,4.203,4.871,7.3260000000000005,6.349,12.571,4.942,8.482999999999999,78.045,14.392000000000001,8.287,8.948,5.502000000000001,9.546,8.142000000000001,11.466,9.008,250.793,9.104,0.588,0.654,0.6729999999999999,0.062,0.081,0.156,1,0,0,0,0,25.0,0,64,9,16,16,32,2.0,2.0,3,314.20972,114.209716796875
24285,-73.98109000000001,40.66941,1,6,1,2,Brooklyn,Entire home/apt,9,3.0,4,6,Real Bed,9,88,96,1,0,0,0.9893,within a few hours,2,1.0,1,Park Slope,220,1400.0,,12.908,26.643,14.177,1.0490000000000002,6.965,21.971999999999998,26.926,10.732000000000001,12.493,15.224,14.159,8.525,12.312000000000001,5.789,8.837,12.465,10.242,9.956,5.5489999999999995,9.271,10.735999999999999,11.699000000000002,4.34,4.6930000000000005,8.006,6.814,13.517999999999999,5.251,9.314,79.028,15.437999999999999,8.972000000000001,9.692,5.372000000000001,10.443,9.174,12.386,9.915,251.787,9.979,0.355,0.629,0.7390000000000001,0.218,0.36,0.415,1,0,0,0,0,24.44444444,1,81,4,16,36,36,2.25,1.5,2,329.4486,109.4486083984375
26012,-73.98989,40.68157,2,0,1,6,Brooklyn,Entire home/apt,6,2.0,3,3,Real Bed,5,19,98,1,0,0,0.4812,within a few hours,2,1.0,0,Gowanus,200,1800.0,,11.654000000000002,25.601,14.133,2.463,5.513,21.061999999999998,26.221999999999998,12.238,13.937999999999999,16.7,15.699000000000002,8.421,11.095999999999998,4.688,7.487,11.181,8.946,8.607999999999999,4.007,7.985,9.3,10.472999999999999,2.838,3.1510000000000002,6.621,5.361000000000001,12.222000000000001,3.775,7.987,77.695,14.195,7.577999999999999,8.317,3.8289999999999997,9.14,7.974,11.081,8.624,250.453,8.67,0.457,0.515,0.742,0.628,0.757,0.799,1,0,0,0,0,33.33333333,1,36,36,9,9,18,2.0,2.0,6,324.40335,124.40335083007812
40039,-73.98571,40.70207,1,6,1,7,Brooklyn,Private room,2,0.0,1,1,Real Bed,2,14,100,0,1,0,2.1164,,0,0.0,0,DUMBO,250,,,9.347999999999999,23.342,12.911,4.28,3.344,18.882,24.185,13.856,15.322000000000001,18.164,17.521,10.033,8.793,5.162000000000001,5.1979999999999995,8.876,6.641,6.319,2.617,5.678999999999999,7.09,8.169,1.088,1.9969999999999999,4.354,3.196,9.919,1.723,5.689,75.406,11.888,5.32,6.042999999999999,2.488,6.837000000000001,5.678,8.779,6.319,248.166,6.367999999999999,0.27699999999999997,0.507,0.805,0.257,0.284,0.311,1,0,0,0,0,125.0,0,4,49,1,1,2,2.0,2.0,7,111.86178,138.13822174072266
54466,-73.95603,40.80234,2,17,1,8,Manhattan,Private room,2,1.0,1,1,Real Bed,2,0,0,0,1,0,1.6748,,0,0.0,0,Harlem,200,1200.0,4000.0,2.178,12.155,11.945,15.255999999999998,8.68,8.544,14.706,23.311,23.956999999999997,26.805,27.340999999999998,20.359,2.634,14.62,6.446000000000001,2.759,4.895,5.417000000000001,11.044,5.796,5.624,3.261,11.210999999999999,11.597999999999999,7.376,8.815,2.024,10.287,5.898,64.233,0.7979999999999999,6.575,5.82,11.173,4.729,5.7620000000000005,2.99,5.187,236.96900000000002,5.1979999999999995,0.263,0.32,0.507,0.16399999999999998,0.20800000000000002,0.226,0,1,0,0,0,100.0,1,4,64,1,1,2,2.0,2.0,8,91.27655,108.72344970703125
60164,-74.00262,40.72003,10,4,1,18,Manhattan,Entire home/apt,6,1.0,3,3,Real Bed,6,91,86,1,0,0,1.7097,within a few hours,2,0.73,0,Soho,500,,14000.0,7.791,22.085,13.812000000000001,6.662999999999999,1.28,17.962,23.608,16.308,17.767,20.614,19.949,10.530999999999999,7.376,4.921,3.513,7.246,5.066,4.566,1.19,4.221,4.981,6.747000000000001,1.574,1.645,2.5839999999999996,1.143,8.222000000000001,0.737,4.064,73.462,10.298,3.428,4.198,1.2690000000000001,5.229,4.551,7.084,4.787,246.208,4.761,0.091,0.237,0.24600000000000002,0.23800000000000002,0.33899999999999997,0.44799999999999995,0,1,0,0,0,83.33333333,1,36,324,9,9,18,2.0,2.0,18,371.12067,128.87933349609375
61167,-73.9954,40.719609999999996,8,4,1,17,Manhattan,Entire home/apt,4,1.0,2,3,Real Bed,2,21,92,1,0,0,1.6704,,0,0.0,0,Chinatown,135,,,7.631,21.864,13.219000000000001,6.39,1.258,17.649,23.226,15.94,17.345,20.203,19.631,10.865,7.167000000000001,5.345,3.355,7.109,4.89,4.453,1.675,3.99,5.045,6.535,1.469,1.889,2.438,1.1059999999999999,8.115,0.512,3.892,73.483,10.16,3.362,4.121,1.706,5.067,4.223,6.97,4.592,246.237,4.593,0.146,0.204,0.33299999999999996,0.335,0.41200000000000003,0.447,0,1,0,0,0,33.75,0,16,289,4,9,8,2.0,1.3333333333333333,17,237.93056,102.93055725097656
61224,-74.00027,40.74358,5,9,1,22,Manhattan,Entire home/apt,4,1.0,2,2,Real Bed,11,35,92,1,0,0,1.8733,a few days or more,0,0.4,0,Chelsea,500,,5500.0,5.343999999999999,19.675,13.443,9.052,1.44,15.788,21.644000000000002,18.452,19.727999999999998,22.609,22.218000000000004,12.838,5.046,7.101,1.379,4.7669999999999995,2.755,2.128,3.575,2.1959999999999997,2.36,4.446000000000001,4.1339999999999995,4.24,0.93,1.591,5.683,3.179,1.8530000000000002,70.837,7.787999999999999,0.9990000000000001,1.7069999999999999,3.721,2.8689999999999998,2.8710000000000004,4.567,2.5580000000000003,243.584,2.4530000000000003,0.32,0.322,0.34700000000000003,0.249,0.256,0.275,0,1,0,0,0,125.0,1,16,484,4,4,8,2.0,2.0,22,319.19626,180.80374145507812
80684,-73.95326999999999,40.737759999999994,0,0,1,16,Brooklyn,Private room,4,1.0,1,2,Real Bed,2,8,100,0,1,0,0.9601,within an hour,3,0.99,0,Greenpoint,349,,,5.412999999999999,18.69,9.48,8.15,3.792,14.094000000000001,19.377,16.305999999999997,17.185,20.072,20.288,14.74,4.698,9.397,2.975,5.14,3.344,3.5669999999999997,5.756,2.612,5.007,4.17,5.082,5.864,3.094,3.8160000000000003,6.1770000000000005,4.445,2.984,71.415,7.797999999999999,3.492,3.655,5.787999999999999,3.537,1.9369999999999998,5.189,3.065,244.146,3.2539999999999996,0.542,0.616,0.7190000000000001,0.518,0.8170000000000001,0.8290000000000001,1,0,0,0,0,87.25,1,16,256,1,4,4,4.0,2.0,16,209.20416,139.79583740234375
80700,-73.95482,40.73738,0,0,1,18,Queens,Private room,4,1.0,1,2,Real Bed,2,7,91,0,1,0,0.9601,within an hour,3,0.99,0,Greenpoint,349,,,5.425,18.77,9.611,8.087,3.655,14.190999999999999,19.493,16.305,17.203,20.090999999999998,20.28,14.619000000000002,4.718,9.266,2.875,5.138,3.3,3.4989999999999997,5.621,2.541,4.928999999999999,4.178999999999999,4.958,5.735,2.97,3.679,6.181,4.313,2.904,71.456,7.827999999999999,3.388,3.573,5.654,3.4960000000000004,1.892,5.178999999999999,3.014,244.19,3.199,0.593,0.6709999999999999,0.733,0.586,0.773,0.963,0,0,1,0,0,87.25,1,16,324,1,4,4,4.0,2.0,18,201.92906,147.07093811035156
