,Unnamed: 0,id,house_ln,house_la,subway,bus_stop,street,room_type,bedroom,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate
0,0,2539,-73.97237,40.64749000000001,1,5,Brooklyn,Private room,1,1,9,98.0,0,1,0,0.3867
1,1,2595,-73.98376999999998,40.75362,19,14,New York,Entire home/apt,1,2,44,95.0,1,0,0,9.9753
2,2,3647,-73.9419,40.80902,2,13,New York,Private room,1,2,0,,0,1,0,1.466
3,3,3831,-73.95976,40.68514,4,7,Brooklyn,Entire home/apt,1,1,258,90.0,1,0,0,1.8669
4,4,5022,-73.94399,40.79851,1,12,New York,Entire home/apt,1,1,9,93.0,1,0,0,1.0669
5,5,5099,-73.975,40.74767,5,15,New York,Entire home/apt,1,2,71,88.0,1,0,0,1.1501
6,6,5121,-73.95596,40.68688,1,8,Brooklyn,Private room,1,1,49,90.0,0,1,0,1.7837
7,7,5178,-73.98493,40.76489,9,14,New York,Private room,1,1,424,84.0,0,1,0,4.3095
8,8,5203,-73.96723,40.80178,1,20,New York,Private room,1,1,118,98.0,0,1,0,0.8454
9,9,5238,-73.99037,40.71344000000001,1,16,New York,Entire home/apt,1,2,159,94.0,1,0,0,1.2624
10,10,5295,-73.96545,40.80316,1,19,New York,Entire home/apt,1,1,50,93.0,1,0,0,0.8454
11,11,5441,-73.98867,40.76076,11,8,New York,Private room,1,1,184,97.0,0,1,0,4.3095
12,12,5803,-73.98779,40.66829,3,4,Brooklyn,Private room,1,1,163,94.0,0,1,0,0.9893
13,13,6021,-73.96113000000003,40.79826,2,13,New York,Private room,1,1,108,93.0,0,1,0,0.8454
14,14,6090,-74.00525,40.7353,1,5,New York,Entire home/apt,1,1,27,97.0,1,0,0,2.282
15,15,6848,-73.95352,40.70837,4,3,Brooklyn,Entire home/apt,1,2,142,91.0,1,0,0,0.9672
16,16,7097,-73.97185,40.69169,0,7,Brooklyn,Entire home/apt,1,2,195,97.0,1,0,0,1.8669
17,17,7322,-73.99501,40.74192,8,6,New York,Private room,1,2,254,96.0,0,1,0,1.73
