id,house_ln,house_la,subway,bus_stop,park,scenery,street,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,subway_station,new_price
2595,-73.98377,40.75362,19,14,2,20,New York,Entire home/apt,2,1,1,1,Real Bed,2,44,95,1,0,0,9.9753,within a few hours,2,0.83,0,Midtown,225,1995,,3.734,18.035,12.144,9.866,2.78,14.037,19.864,18.852,19.934,22.826,22.734,14.514,3.335,8.802,0.552,3.203,1.014,0.598,5.157,0.565,1.898,2.715,5.364,5.7,1.478,2.916,4.213,4.418,0.135,69.672,6.255,0.79,0.539,5.28,1.171,1.374,3.068,0.778,242.431,0.706,0.095,0.154,0.277,0.212,0.217,0.244,6,190
3647,-73.9419,40.80902,2,13,1,6,New York,Private room,2,1,1,1,Pull-out Sofa,2,0,0,0,1,0,1.466,within a day,1,1,0,Harlem,150,,,3.466,10.95,11.484,16.126,9.869,7.155,13.304,23.814,24.328,27.145,27.868,21.606,3.764,15.879,7.632,4.068,6.083,6.657,12.255,6.928,6.983,4.391,12.318,12.767,8.558,9.998,3.42,11.417,7.08,63.51,1.747,7.811,7.074,12.375,5.936,6.778,4.326,6.352,236.212,6.391,0.334,0.587,0.653,0.195,0.271,0.286,1,150
5022,-73.94399,40.79851,1,12,1,8,New York,Entire home/apt,1,1,1,1,Real Bed,1,9,93,1,0,0,1.0669,within an hour,3,1,0,East Harlem,80,600,1600,2.532,12.085,10.876,14.945,8.765,8.082,14.109,22.693,23.25,26.079,26.74,20.524,2.685,14.812,6.535,3.134,4.999,5.604,11.158,5.807,6.077,3.296,11.173,11.646,7.454,8.891,2.722,10.282,5.985,64.674,1.858,6.747,6.03,11.273,4.866,5.619,3.424,5.251,237.382,5.307,0.2,0.389,0.62,0.128,0.148,0.157,2,80
5099,-73.975,40.74767,5,15,1,21,New York,Entire home/apt,2,1,1,1,Real Bed,2,71,88,1,0,0,1.1501,within an hour,3,1,0,Flatiron District,200,,,4.199,18.312,11.342,9.144,2.655,14.108,19.784,17.958,18.996,21.889,21.867,14.386,3.653,8.75,0.888,3.748,1.552,1.512,5.027,0.592,2.89,3.024,4.949,5.44,1.439,2.758,4.805,4.057,0.866,70.318,6.739,1.417,1.528,5.122,1.76,0.731,3.684,1.222,243.076,1.335,0.427,0.482,0.622,0.085,0.118,0.293,2,200
5121,-73.95596,40.68688,1,8,1,3,Brooklyn,Private room,2,0,1,1,Futon,1,49,90,0,1,0,1.7837,N/A,0,0,0,Bedford-Stuyvesant,60,,,10.97,24.197,11.347,2.643,6.003,19.381,24.158,11.133,12.43,15.3,14.961,11.23,10.297,7.475,7.321,10.609,8.495,8.377,5.632,7.537,9.452,9.724,4.105,4.938,6.668,5.874,11.672,4.656,7.697,77.071,13.428,7.604,8.214,5.494,8.704,7.231,10.592,8.166,249.807,8.28,0.368,0.411,0.616,0.154,0.277,0.28,2,60
5203,-73.96723,40.80178,1,20,1,11,New York,Private room,1,1,1,1,Real Bed,1,118,98,0,1,0,0.8454,N/A,0,0,0,Upper West Side,79,,,1.858,12.691,12.689,15.151,8.287,9.333,15.542,23.474,24.211,27.075,27.48,19.852,2.52,14.107,6.085,2.332,4.566,5.001,10.609,5.518,4.99,3.091,10.895,11.211,7.007,8.429,1.365,9.952,5.552,64.294,0.751,6.143,5.374,10.746,4.379,5.614,2.484,4.882,237.048,4.854,0.245,0.277,0.711,0.045,0.108,0.128,2,75
5238,-73.99037,40.71344,1,16,1,13,New York,Entire home/apt,3,1,1,2,Real Bed,2,159,94,1,0,0,1.2624,within a few hours,2,1,1,Lower East Side,150,,,8.182,22.318,12.94,5.603,2.02,17.992,23.457,15.134,16.544,19.4,18.829,10.624,7.67,5.301,3.956,7.684,5.448,5.074,1.927,4.508,5.778,7.04,0.967,1.762,3.077,1.872,8.712,0.568,4.47,74.154,10.722,4.034,4.774,1.88,5.637,4.62,7.567,5.135,246.912,5.162,0.035,0.596,0.606,0.059,0.115,0.176,1,150
5295,-73.96545,40.80316,1,19,1,8,New York,Entire home/apt,2,1,1,1,Real Bed,1,50,93,1,0,0,0.8454,within a day,1,1,0,Upper West Side,135,,2800,2.023,12.481,12.648,15.307,8.48,9.122,15.335,23.585,24.303,27.164,27.596,20.057,2.658,14.312,6.272,2.518,4.747,5.193,10.807,5.694,5.201,3.243,11.079,11.404,7.196,8.621,1.572,10.138,5.737,64.14,0.544,6.339,5.57,10.943,4.562,5.771,2.681,5.06,236.891,5.037,0.148,0.481,0.52,0.094,0.139,0.154,2,135
5441,-73.98867,40.76076,11,8,2,19,New York,Private room,2,1,1,1,Real Bed,1,184,97,0,1,0,4.3095,within an hour,3,1,1,Times Square,85,,,3.204,17.531,12.676,10.708,3.408,13.716,19.657,19.745,20.828,23.721,23.621,14.982,2.967,9.242,1.356,2.622,0.93,0.363,5.703,1.317,1.116,2.411,6.079,6.321,2.187,3.554,3.55,5.12,1.001,68.89,5.647,1.254,0.49,5.842,0.918,2.053,2.424,0.998,241.648,0.781,0.295,0.393,0.394,0.29,0.384,0.422,4,85
6021,-73.96113,40.79826,2,13,1,11,New York,Private room,1,1,1,1,Real Bed,1,108,93,0,1,0,0.8454,within a few hours,2,1,1,Upper West Side,85,,,1.583,12.76,12.045,14.776,8.095,9.164,15.313,22.968,23.667,26.525,26.985,19.753,2.115,14.012,5.866,2.15,4.32,4.821,10.451,5.24,5,2.729,10.65,11.017,6.795,8.232,1.407,9.719,5.321,64.684,1.039,5.978,5.219,10.581,4.147,5.252,2.371,4.62,237.43,4.62,0.243,0.361,0.624,0.071,0.154,0.25,2,85
