id,daily,weekly,monthly
2539,149,299,999
2595,225,"1,995.00",
3647,150,,
3831,89,575,"2,100.00"
5022,80,600,"1,600.00"
5099,200,,
5121,60,,
5178,79,470,
5203,79,,
5238,150,,
5295,135,,"2,800.00"
5441,85,,
5803,89,,
6021,85,,
6090,120,,"3,600.00"
6848,140,,
7097,215,,
7322,140,,
7726,99,,
7750,190,,
7801,299,,
8024,130,900,"2,400.00"
8110,110,850,"2,500.00"
8490,120,"1,000.00","3,500.00"
8505,60,,
8700,80,350,"1,500.00"
9357,150,"1,000.00","2,800.00"
9518,44,,
9657,180,,
9668,50,,
9704,52,,"1,700.00"
9782,55,450,"1,500.00"
9783,50,,
10452,70,420,"1,100.00"
10962,89,,
11452,35,300,"1,100.00"
11708,85,550,
11943,150,,
12048,40,,
12192,68,420,"1,400.00"
12299,120,,
12303,120,,
12318,135,,
12343,150,,
12627,150,,
12937,130,840,"3,300.00"
12940,110,900,"3,000.00"
13050,115,850,
13394,80,500,"1,800.00"
13808,80,600,"1,350.00"
14287,151,,
14290,228,,
14314,144,940,"3,400.00"
14322,200,"1,400.00","3,200.00"
14377,150,,
14991,110,,
15220,69,,
15341,180,,"4,550.00"
15385,78,,"1,200.00"
15396,375,"2,750.00","7,500.00"
15711,250,"2,000.00","6,000.00"
16326,200,,
16338,55,400,"1,500.00"
16421,52,,
16458,225,,
16580,80,,
16595,270,,
16821,99,,
16974,225,"1,900.00","7,000.00"
17037,230,"1,330.00","5,320.00"
17092,51,,"1,250.00"
17693,65,686,"1,850.00"
17747,105,750,"2,750.00"
18127,190,,
18198,70,420,"1,200.00"
18590,95,615,"2,095.00"
18728,150,,
18764,145,860,"3,000.00"
19159,110,900,"2,800.00"
19169,285,,"4,875.00"
19282,130,650,
19319,94,,"2,400.00"
19601,800,"4,000.00",
19812,105,625,"2,400.00"
20299,60,,
20300,50,,
20611,85,,
20724,65,,
20734,131,825,"2,700.00"
20755,98,898,"1,898.00"
20853,250,"1,400.00","4,000.00"
20913,100,600,"2,300.00"
21293,105,750,"2,450.00"
21456,140,900,
21644,89,400,"1,100.00"
21794,111,777,"2,500.00"
22911,125,805,"3,200.00"
22918,60,,
23135,175,,
23501,65,,
23686,500,,
24143,101,,
24285,220,"1,400.00",
25235,125,975,"3,500.00"
25406,80,,
25696,100,,
26012,200,"1,800.00",
26362,59,,
26520,125,898,"1,898.00"
26785,120,,"3,000.00"
26933,350,,
26969,325,,
27006,235,"2,000.00","6,000.00"
27385,225,,
27531,99,,
27644,170,,
27659,400,"2,700.00",
27759,170,"1,100.00","3,500.00"
27883,100,,"1,800.00"
28321,75,600,"1,100.00"
28396,90,,
28907,150,,
29012,85,400,"1,000.00"
29013,70,,"1,100.00"
29455,120,,"2,800.00"
29628,89,595,"2,000.00"
29683,185,,
30031,50,,
30927,105,,
31130,130,700,"2,700.00"
31555,115,900,"3,000.00"
31902,77,,
31994,76,,
32023,125,,"2,500.00"
32037,135,,
32100,250,"1,800.00","6,000.00"
32289,199,"1,400.00",
32331,140,,
32363,140,,
32965,115,,
32969,160,950,
33009,195,,
33014,195,"1,550.00","4,000.00"
33223,80,,
34760,44,400,"1,400.00"
35526,156,,
36121,85,,"1,300.00"
36133,125,,
36442,115,770,"2,500.00"
36647,69,,"2,200.00"
36703,225,,"4,200.00"
36934,125,,"2,500.00"
38638,219,,
38663,475,,
39267,99,693,"2,450.00"
39282,69,,
39593,79,525,"1,650.00"
39704,135,,
40039,250,,
41348,250,,
41513,80,530,
42580,70,,
42729,165,,
42882,70,,"1,500.00"
43957,50,300,950
44096,40,360,
44161,150,,
44212,125,750,
44221,196,,"4,641.00"
44229,110,,
44288,170,,"3,400.00"
44506,165,"1,200.00","3,500.00"
45393,150,,"3,200.00"
45542,100,,
45556,65,,
45910,350,"2,450.00","9,000.00"
45936,99,650,"1,800.00"
45940,200,,"4,500.00"
46544,150,975,"2,500.00"
46723,90,560,"2,240.00"
46911,120,600,"1,500.00"
47199,75,700,"2,400.00"
47362,175,,
47370,125,,"2,650.00"
47926,275,,
48719,299,,
50447,135,,
51438,130,700,"1,900.00"
51485,83,535,"1,890.00"
51572,123,775,"2,500.00"
51850,55,,
53137,195,,
53196,80,,
53469,98,650,"2,175.00"
53470,140,,
53477,265,,"6,500.00"
54158,249,"1,600.00","4,800.00"
54453,105,,
54466,200,"1,200.00","4,000.00"
54508,100,600,"1,300.00"
54544,121,990,"3,500.00"
54626,45,385,
54860,100,700,
55467,140,,
55498,71,,
55668,130,,"3,000.00"
55737,199,,"5,000.00"
55959,69,,
55982,68,,
56467,130,800,"3,000.00"
56525,195,,
56859,64,510,"1,800.00"
57166,140,"1,600.00","6,000.00"
57297,159,,"3,100.00"
57468,189,"1,250.00","4,800.00"
57618,250,,
57740,239,"1,500.00","5,100.00"
57754,305,,
57874,155,,
58059,60,,
58062,135,810,
58467,120,719,"2,150.00"
59014,150,,
59121,140,,
59709,250,,
59855,250,"1,200.00","3,150.00"
60164,500,,"14,000.00"
60611,125,,"3,400.00"
60666,92,720,"3,000.00"
60673,175,,
60680,99,,"2,800.00"
60794,195,700,
60948,140,850,"2,750.00"
61167,135,,
61224,500,,"5,500.00"
61406,80,,
61492,120,850,
61509,110,,"3,200.00"
62095,65,600,"2,500.00"
62427,130,,
62430,99,,"2,300.00"
62891,175,"1,200.00","4,800.00"
62903,205,"1,090.00","3,390.00"
62925,285,,
63299,59,389,"1,199.00"
63360,99,,
63546,39,,
63573,60,500,"1,200.00"
63588,90,575,"2,050.00"
63610,105,570,"2,000.00"
63657,135,,
63693,390,"2,600.00","9,000.00"
63719,70,,"1,300.00"
63913,85,525,"1,150.00"
64000,60,,"2,000.00"
64015,200,"1,200.00",
64107,100,690,
64277,70,,"1,300.00"
64314,110,500,"2,000.00"
64365,60,,"1,650.00"
64837,68,420,"1,400.00"
65019,115,,
65268,75,,
65556,60,,800
65562,129,,
65615,130,"1,125.00","3,800.00"
65660,95,,"3,000.00"
65813,75,525,"2,250.00"
65834,175,"1,000.00","3,400.00"
66008,190,"1,200.00",
66026,49,380,"1,379.00"
66251,212,,
66275,95,,
66451,140,,
66718,135,,
66741,150,"1,200.00","4,000.00"
66974,190,,
67288,124,805,"3,625.00"
67299,135,870,"3,066.00"
67397,122,744,
68099,109,,
68305,85,650,"2,300.00"
68403,145,,
68735,195,,
68765,250,"1,750.00","7,500.00"
68900,125,700,"2,500.00"
68974,575,,
69894,150,,"3,000.00"
69921,70,400,"1,400.00"
70095,90,500,"2,200.00"
70609,500,"3,689.00",
71010,250,"3,150.00","10,000.00"
71248,125,700,"2,500.00"
71366,200,,"4,500.00"
71384,229,"1,200.00","4,000.00"
71812,90,500,"1,950.00"
72190,110,900,"3,000.00"
72265,59,340,"1,190.00"
74073,195,,
74240,169,"1,565.00","4,699.00"
74333,113,,"2,300.00"
74680,115,700,"2,700.00"
74860,55,,
75193,69,449,"1,399.00"
75635,150,,
76761,169,,
77765,179,,
77936,150,"1,000.00","3,000.00"
78919,135,875,
79067,350,,"10,000.00"
79782,120,700,"1,850.00"
